word	jp_defs	pos	hanja	jp_trans
-계	1.かい【界】 2.かい【界】 3.かい【界】	「접사」		「分野」または「領域」の意を付加する接尾辞。 「境界」の意を付加する接尾辞。  「世界」の意を付加する接尾辞。
-계	けい【計】	「접사」		「そのものの程度を計る器具」の意を付加する接尾辞。 
계량적	けいりょうてき【計量的】。りょうてき【量的】 	「관형사」		数量を計るさま。
계면쩍다	気まずい	「형용사」		気恥ずかしく、面目がなくて、気まずい。
계몽적	けいもうてき【啓蒙的】	「관형사」		教育水準が低く旧習にとらわれている人々を教え導き、正しい知識を与えるさま。
계산적	1.けいさんてき【計算的】 2.けいさんてき【計算的】	「관형사」		数を数えるのに関するさま。 利益や損害を考えるさま。
계속	1.つづけて【続けて】 2.つづいて【続いて】	「부사」		途切れずに続けて。 中断していたことを再び続けて。
계속적	けいぞくてき【継続的】。れんぞくてき【連続的】。じぞくてき【持続的】	「관형사」		絶えることなく続けていくさま。
계시다	1.いらっしゃる 2.いらっしゃる	「보조 동사」		（尊敬語）いる。前の言葉の表す行動を続けて行うか、その結果が続くという意を表す「補助動詞」。 （尊敬語）いる。前の言葉の表す状態が続くという意を表す「補助動詞」。
계절적	きせつてき【季節的】	「관형사」		季節によって影響を受けたり変わったりするさま。
계층적	かいそうてき【階層的】	「관형사」		社会的・経済的地位や職業などに関するさま。 
계통적	1.けいとうてき【系統的】 2.けいとうてき【系統的】	「관형사」		一定の体系に従って、異なる複数の要素が関連づけられ、統一されているさま。 一つの共通した物から分かれて出たさま。
계획적	けいかくてき【計画的】	「관형사」		予め決めた計画に従うさま。 
고	1.その 2.その 3.その	「관형사」		聞き手に近くにある対象、または聞き手が考えている対象を、卑しめて、また、親しんでいう語。 前に話した対象を、卑しめて、また、親しんでいう語。 確かでない物事や明らかにしたくない物事をさしていう語。
고	と	「조사」		前の文章が間接的に引用される文章であることを表す助詞。
고-	こ・ふる【古】	「접사」		「古い」または「古びた」という意を付加する接頭辞。
고	も	「조사」		2つ以上の物事を同じ資格でつなぎ、これらが同じく選択されたことを表す助詞。
고-	こう【高】	「접사」		「高い」または「立派な」という意を付加する接頭辞。
고	こ【故】 	「관형사」		すでに死亡しているさま。
-고	たか・だか【高】	「접사」		「量」または「額」の意を付加する接尾辞。 
고거	1.それ 2.そいつ。あいつ 3.そいつ。あいつ 4.そいつ。あいつ	「대명사」		聞き手に近いものや聞き手が考えているものをさし、卑しめて、また、親しんでいう語。 前の話で話題になった対象をさし、卑しめて、また、親しんでいう語。 その人やあの人を卑しめていう語。 その子やあの子をいつくしんでいう語。
고것	1.それ 2.そいつ。あいつ 3.そいつ。あいつ 4.そいつ。あいつ	「대명사」		聞き手に近いものや聞き手が考えているものをさし、卑しめて、また、親しんでいう語。 前の話で話題になった対象をさし、卑しめて、また、親しんでいう語。 その人やあの人を卑しめていう語。 その子やあの子をいつくしんでいう語。
고결하다	こうけつだ【高潔だ】	「형용사」	高潔하다	人柄がりっぱで清らかだ。
고고하다	ここうだ【孤高だ】	「형용사」	孤高하다	人柄や身だしなみなどが他とかけ離れて高尚だ。
고고학적	こうこがくてき【考古学的】	「관형사」		古い時代の遺跡や遺物から、当時の人々の生活や文化などを研究する学問と関連したさま。 
고귀하다	こうきだ【高貴だ】	「형용사」	高貴하다	立派で貴い。
고급스럽다	こうきゅうだ【高級だ】	「형용사」	高級스럽다	物の質が優れていて、品が高い。
고급하다	1.こうきゅうだ【高級だ】 2.こうきゅうだ【高級だ】	「형용사」	高級하다	物件や施設などの品質が優れている。 地位や身分、レベルなどが高い。
고기	1.そこ 2.あそこ。そこ 3.あそこ。そこ	「대명사」		聞き手に近い場所をさす語。 前の話で話題になった場所をさす語。 前の話で話題になった対象をさす語。
고까짓	それしき【其れ式】	「관형사」		たったそれくらいであるさま。
고깝다	うらめしい【恨めしい】	「형용사」		恨めしくて気に入らない。
고깟	それしき【其れ式】	「관형사」		たったそれくらいであるさま。
고나마	1.それでも。せめて 2.それさえも。それすら	「부사」		良くないか足りないけれど、それだけでも。 良くないか足りないけれど、それさえも。
고단하다	1.くたびれる【草臥れる】 2.きびしい【厳しい】 3.きびしい【厳しい】	「형용사」		からだが疲れていて、元気がない。 すっかり疲れるほど、仕事が大変だ。 置かれている事情や状況などが大変だ。
고달프다	つらい【辛い】	「형용사」		体がひどく疲れている。または、立場や仕事などが非常に大変で苦しい。
고담하다	こふうだ【古風だ】	「형용사」		古風で品や趣がある。
고담하다	こたんだ【枯淡だ】	「형용사」		書画や絵に飾りがなく、趣がある。
고답적	こうとうてき【高踏的】	「관형사」		世俗を離れたことを気高く思うさま。 
고대로	1.そのまま 2.そっくり。その通り	「부사」		相変わらず本来の姿や状態のまま。 それと同じく。
고독하다	こどくだ【孤独だ】	「형용사」	孤獨하다	世の中で一人ぼっちになったように寂しい。
고되다	つらい【辛い】。きつい	「형용사」		肉体的にも精神的にも苦しくて大変だ。
고등하다	こうとうだ【高等だ】	「형용사」	高等하다	相対的に等級や水準が高い。
고따위	そんなたぐい【そんな類】	「대명사」		そのような種類の対象を卑しめていう語。
고따위		「관형사」		「そんな類の」を卑しめていう語。
고때고때	そのつど【その都度】	「부사」		事や機会がある度に。
고랑	さく	「의존 명사」		畑に作物を植えるために作った畝間を数える単位。
고래고래	おおごえで【大声で】	「부사」		声を高めて大きく怒鳴るさま。
고래로	こらいから【古来から】	「부사」	古來로	大昔から伝わったものが今まで。
고러하다	そのようだ	「형용사」		状態や形、性質などがそうであることを、卑しめて、また、親しんでいう語。
고런	そんな。そのような。そうした。そういう	「관형사」		状態・模様・性質などがそのようなさま。
고런대로	それなりに	「부사」		満足はできないが、まあその程度で。
고런조런	あれこれの	「관형사」		はっきりしたものがなく、色々な種類があるさま。
고렇다	そうだ	「형용사」		状態、形、性質などがそのようであることを、卑しめて、または、親しんでいう語。
고렇지	そうとも。そのとおりだ【その通りだ】	「감탄사」		まさにその通りだという意味でいう語。
고로	1.ゆえ【故】 2.ゆえに【故に】	「부사」	故로	その理由で 前の内容が後ろの内容の原因や根拠になることを表して、そのためにという意を表す語。
고루	1.いちように【一様に】。ひとしく【等しく】 2.まんべんなく。ぜんぶ【全部】	「부사」		多い、少ないの差がなく、大体同じく。 残さずにあれこれ全て。
고루고루	1.すべてひとしく【全て等しく】 2.まんべんなく。もれなく	「부사」		多い少ないの差がなく、ほぼ同じく。 もれなく、あれこれ全て。
고루하다	ころうだ【固陋だ】。きゅうへいだ【旧弊だ】	「형용사」	固陋하다	古い考え方ややり方に慣れてしまい、新しいものや変化を受け入れない。
고르다	1.きんとうだ【均等だ】 2.きんとうだ【均等だ】	「형용사」		高さ、大きさ、形などが違いなく等しい。均一だ。 天気、音程などの変化が大きくなく、正常だ。
고리	そっち	「부사」		そこに。またはそっちに。
고리로	そっちに	「부사」		そこに、またはそちらにを強調していう語。
고리타분하다	1.くさい【臭い】 2.ふるくさい【古臭い】。ちんぷだ【陳腐だ】	「형용사」		いやなにおいがして不快だ。 内容や考え方などが面白くなく退屈であったり、時代遅れでうっとうしい。
고립적	こりつてき【孤立的】	「관형사」		他から離れて、人との交流や他地域との疎通ができなくなるさま。
고만	それくらい	「관형사」		状態、形、性質などがその程度であるさま。
고만	1.そこまで 2.そのまま 3.そのくらいで 4.しらぬまに【知らぬ間に】 5.しかたなく【仕方なく】 6.そこまで 7.そのうえになく【その上になく】	「부사」		その程度まで。 そのまますぐに。 そのくらいにして。 自分も知らないうちに。 他の方法がなく。 それで終わりであることを表す語。 その上にないほど良いということをあらわす語。
고만고만하다	似たり寄ったりだ	「형용사」		複数のものに大きな違いがなく、ほぼ同じである。
고만조만	そこそこ	「부사」		まあそのくらいに。
고만조만하다	それくらいだ	「형용사」		ただそれくらいの程度だ。
고만치	そのていどで【その程度で】	「부사」		そのくらいに。
고만큼	それだけ【それだけ】	「부사」		その程度で。または、そのくらいで。
고만하다	それくらいだ	「형용사」		状態、形、性質などがその程度だ。
고맙다	ありがたい【有難い】	「형용사」		他人が自分に何かしてくれたことに対して、嬉しく恩返ししたいと思う。
고매하다	こうまいだ【高邁だ】	「형용사」	高邁하다	考えや人柄、学問などが他にぬきんでて正しくて優れている。
고명하다	こうめいだ・こうみょうだ【高名だ】。なだかい【名高い】	「형용사」	高名하다	世間から高い評価を受けて、広く名前が知られている。
고무적	こぶてき【鼓舞的】	「관형사」		何かをしたいという気持ちを奮いたたせ、何かが生じるように刺激するさま。 
고백적	こくはくてき【告白的】	「관형사」		心の中で思っていることや隠していることをすべて打ち明かすさま。
고분고분	じゅうじゅんに【従順に】	「부사」		他人に言われるまま従順にいうことをきいたり、おとなしく振舞うさま。
고분고분하다	すなおだ【素直だ】。じゅうじゅんだ【従順だ】	「형용사」		人の言うことを丁寧に聞いたり、行動などがおとなしい。
고불고불	くねくね	「부사」		形がまっすぐではなく、あちこち曲がっているさま。
고상하다	こうしょうだ【高尚だ】。じょうひんだ【上品だ】	「형용사」	高尙하다	言行や趣味などのレベルが高く、上品だ。
고색창연하다	こしょくそうぜんたる【古色蒼然たる】	「형용사」	古色蒼然하다	長い年月を経て、昔風の雰囲気や趣がある。
고생고생	くろうにくろうをかさね【苦労に苦労を重ね】	「부사」	苦生苦生	いろいろと大変なことや苦労を経験しながら。
고생스럽다	たいへんだ【大変だ】	「형용사」	苦生스럽다	仕事や生活などが困難でつらいところがある。
고소하다	1.こうばしい【香ばしい】 2.いいきみだ【好い気味だ】	「형용사」		煎りゴマや焼きたてのパンなどの、よい香りや味がする。 日頃憎んでいた人の失敗や不幸などを喜んで、気分が爽快でいい気持ちになっている。
고스란히	そっくりそのまま	「부사」		少しも減ったり変わったりしたことなく、もとの状態のまま。
고슬고슬	ほどよいかたさに【ほどよい堅さに】	「부사」		ご飯などが水分が多くも少なくもなく、ちょうど良い状態。
고슬고슬하다		「형용사」		水けが多くも少なくもなく、飯がほどよく炊かれている。
고시랑고시랑	ぶつぶつ	「부사」		気にいらなかったり不満で、耳障りで不要なことを言いつづけるさま。
고식적	こそくてき【姑息的】	「관형사」		ある問題に対して根本的に接近せずその場凌ぎのような態度で接近するさま。 
고압적	こうあつてき【高圧的】。たかびしゃ【高飛車】	「관형사」		人を押さえつけようとするさま。 
고약스럽다	ひどい【酷い】	「형용사」		天気、または人の性格や言行、味やにおいなどが悪い。
고약하다	1.ひどい【酷い】 2.けわしい【険しい】。みにくい【醜い】 3.わるい【悪い】 4.ふにんじょうだ【不人情だ】。はくじょうだ【薄情だ】 5.ふじゅんだ【不順だ】 6.やっかいだ【厄介だ】	「형용사」		味、においなどがむかつくほど非常によくない。 顔立ちや表情などがみにくいか、険しい。 癖や性格、言行などが荒れてよくない。 道理に外れているほど、人情に薄い。 天気が荒れている。 物事が狂って困り果てている。
고얀	ふとどき【不届き】	「관형사」		性格や言動が非常に悪いさま。
고역스럽다	つらい【辛い】	「형용사」	苦役스럽다	非常にきつくて苦しくて耐え難い。
고요하다	1.しずかだ【静かだ】 2.しずかだ【静かだ】 3.しずかだ【静かだ】	「형용사」		うるさかったり乱れていたりしないでひっそりしている。 川や海などの波が穏やかだ。 心や状態などに乱れがなく、ゆったりとしている。
고요히	1.しずかに【静かに】 2.ものしずかに【もの静かに】。おだやかに【穏やかに】 3.おだやかに【穏やかに】	「부사」		うるさかったり落ち着きがなかったりせず、静かに。 川や海などの波が穏やかに。 心や状態などが静かで平和に。
고유하다	こゆうだ【固有だ】。とくゆうだ【特有だ】	「형용사」	固有하다	あるものや集団などが本来持っているもので、他とは違う。
고의적	こいてき【故意的】	「관형사」		いけないことと知りつつもわざとするさま。 
고이	1.きれいに 2.たいせつに【大切に】 3.やすらかに【安らかに】 4.そのまま	「부사」		見かけがきれいで美しく。 誠を尽くして大切に。 安らかで平和に。 状態をそのままそっくりと。
고이고이	1.きれいに 2.たいせつに【大切に】 3.やすらかに【安らかに】 4.たいせつに【大切に】	「부사」		とても綺麗で美しく。 誠を尽くしてとても大切に。 とても安らかで平和に。 状態をそのままそっくりと。
고작	せいぜい。たかが	「부사」		確かめたり計算してみてもやっと。
고작해야	せいぜい。たかが	「부사」		確かめたり計算してみてもやっと。
고적하다	さびしい【寂しい】	「형용사」	孤寂하다	ひとりぼっちで寂しい。
고전적	1.こてんてき【古典的】 2.こてんてき【古典的】	「관형사」		昔から伝えられてきた方式や形式に従うさま。 古典としての価値が認められるさま。
고정불변하다	こていふへんだ【固定不変だ】	「형용사」	固定不變하다	固定されて変わらない。
고정적	1.こていてき【固定的】  2.こていてき【固定的】 	「관형사」		決まった内容を変更しないさま。 同じところに張り付いていたり、打ち込まれているさま。
고즈넉이	1.ひっそりと 2.ものしずかに【物静かに】	「부사」		静かで安らかに。 静かで低い音で。
고즈넉하다	1.しずかだ【静かだ】 2.しずかだ【静かだ】 3.しずかだ【静かだ】	「형용사」		雰囲気などが穏やかで、ゆったりとしている。 ひっそりしていて、声が小さい。 物を言わないで、落ち着いている。
고지식하다	きまじめだ【生真面目だ】	「형용사」		非常にまじめで融通がきかない。
고질적	1.まんせいてき【慢性的】 2.まんせいてき【慢性的】	「관형사」		長く続いて、治しにくいさま。 長く続いて、正しにくいさま。
고집스럽다	ごうじょうだ【強情だ】。いじっぱりだ【意地っ張りだ】	「형용사」	固執스럽다	自分の考えや主張を曲げないで固く押し通す態度がある。
고집스레	がんこに【頑固に】	「부사」	固執스레	自分の考えや主張を曲げず意志を張る態度で。
고쪽	1.そちら。そっち。むこう【向こう】 2.そちら。そっち。あちら。あっち	「대명사」		聞き手に近い場所や方向をさす語。 話し手と聞き手がすでに知っている場所や方向をさす語。
고쯤	まあそのくらい	「부사」		その程度で。
고차원적	こうじげんてき【高次元的】	「관형사」		考えや行動などの水準が高いさま。
고통스럽다	くるしい【苦しい】	「형용사」	苦痛스럽다	心身がつらくて痛い。
고풍스럽다	こふうだ【古風だ】	「형용사」	古風스럽다	見た目に昔風の趣がある。
고프다	すく【空く】。へる【減る】	「형용사」		空腹で食べ物がほしい。
고혹적	こわくてき【蠱惑的】 	「관형사」		人を惑わすほど美しく魅力的であるさま。 
-곡	きょく【曲】	「접사」	曲	「歌」または「楽曲」の意を付加する接尾辞。 
곤고하다	こんくする【困苦する】	「형용사」	困苦하다	事情や身のうちが不憫で苦しい。
곤고히	こんくに【困苦に】	「부사」	困苦히	都合や立場などが困難でつらく。
곤궁하다	1.こんきゅうだ【困窮だ】 2.こんきゅうだ【困窮だ】	「형용사」	困窮하다	貧乏なため、困り苦しむ。 困っていて気の毒だ。
곤궁히	1.こんきゅうに【困窮に】 2.こんきゅうに【困窮に】	「부사」	困窮히	貧乏で暮らしが苦しく。 立場が困難で可哀想に。
곤드레	ぐでんぐでんに。ぐでぐでに	「부사」		酒に酔ったり寝ぼけたりして、体がふらつき、正気がないさま。
곤드레만드레	ぐでんぐでんになって。ぐでぐでになって	「부사」		酒に酔ったり寝ぼけたりして、体がふらつき、正気がないさま。
곤란하다	こんなんだ【困難だ】	「형용사」	困難▽하다	事情が非常に難しくて困っている。
곤욕스럽다	こんじょくだ【困辱だ】。ぶじょくだ【侮辱だ】	「형용사」	困辱스럽다	ひどい侮辱を受けて耐えられないところがある。
곤지곤지	コンジコンジ	「감탄사」		乳幼児に左手の手のひらを右手の人差し指で突っつく真似をする時の掛け声。
곤핍하다	こんぱいする【困憊する】。こんとんする【困頓する】	「형용사」	困乏하다	疲れはてて辛い。
곤하다	1.だるい 2.	「형용사」	困하다	疲れていて、元気がない。 眠りが深い。
곤혹스럽다	こんわくだ【困惑だ】	「형용사」	困惑스럽다	困った状況になり、どうしたら良いか判断がつかず迷う。
곤히	1.くったり。ぐったり 2.ぐっすり	「부사」	困히	力が抜けて元気なく。 眠りにふけった状態で。
곧	1.ただちに【直ちに】。すぐ 2.まもなく【間もなく】 3.いわゆる。つまり 4.すなわち【即ち】	「부사」		遅滞なくすぐに。 時間があまり経たないうちに。 言い換えると。 ほかでもない。
곧다	1.まっすぐだ【真っ直ぐだ】 2.まっすぐだ【真っ直ぐだ】	「형용사」		道・線・姿勢などが曲がっていない。 正直で正しい。
곧바로	1.ただちに【直ちに】 2.まっすぐ【真っすぐ】 3.まっすぐ【真っすぐ】 4.すぐそばに。すぐそこに	「부사」		今すぐ。 まがらず直線方向に。 寄り道をせず、まっすぐに。 遠くなくすぐ近くに。
곧바르다	まっすぐだ【真っ直ぐだ】	「형용사」		性格や形などが真っ直ぐで正しい。
곧이곧대로	ありのままに。すなおに【素直に】	「부사」		うそをついたり、つくろったりせず、ありのまま。
곧이어	ひきつづき【引き続き】	「부사」		後についてすぐ。
곧잘	1.かなり。なかなか 2.しばしば	「부사」		かなりよく。 しばしばよく。
곧장	1.まっすぐ【真っすぐ】 2.ただちに【直ちに】。しだい【次第】	「부사」		他の場所に留まったり立ち寄ったりせず、すぐに。 すぐ続けて。
곧추	まっすぐに【真っすぐに】	「부사」		曲げたり折ったりせず、まっすぐに。
골고루	1.きんとうに【均等に】 2.まんべんなく	「부사」		多い少ないの差なく、大体同じく。 残さずあれこれ全部。
골골	びょうじゃくな【病弱な】	「부사」		体が弱くて長い期間患うさま。
골똘하다	むちゅうだ【夢中だ】	「형용사」		一つの事や考えだけに集中して他を顧みない。
골똘히	じっと	「부사」		他は何も気に留めないほど集中して。
곰곰	じっくり	「부사」		多方面に深く考え込むさま。
곰곰이	じっくりと	「부사」		多方面に深く考え込むさま。
곰살궂다	1.あいきょうらしい【愛嬌らしい】 2.こまごまとくわしい【細細と詳しい】	「형용사」		人の気に入るように、振る舞いや性格がやさしくて暖かい。 性格や行動がきめ細かくて詳しい。
곰살맞다	やさしい【優しい】	「형용사」		性質や態度が他人の気にいるようにとても穏やかで親切だ。
곰지락곰지락	もぞもぞ	「부사」		体をゆっくりと少しずつ動かすさま。
곱다	1.こぎれいだ【小綺麗だ】 2.きれいだ【綺麗だ】 3.きれいだ【綺麗だ】 4.なめらかだ【滑らかだ】 5.こまかい【細かい】 6.きれいだ【綺麗だ】 7.やすらかだ【安らかだ】 8.きれいだ【綺麗だ】 9.しとやかだ【淑やかだ】 10.きれいだ【綺麗だ】 11.すなおだ【素直だ】	「형용사」		形や様子が美しい。 色がよく、美しい。 音がよく、澄んでいる。 触り心地が滑らかでやわらかい。 粉や粒がとても細やかだ。 性格や行動、言葉使いが穏やかで、優しく、親切だ。 安らかで順調だ。 そのままで完全だ。 おとなしく、品がある。 痕跡が全くない。 逆らわず言うとおりに行動する。
곱다	かじかむ【悴む】。かじける【悴ける】。ちぢかむ【縮かむ】	「형용사」		寒さのため、手足の感覚がなく動きにくい。
곱다랗다	1.きれいだ 2.	「형용사」		顔立ちや姿などがとても美しい。 元の通りに保つ。
곱디곱다	とてもきれいだ【とても奇麗だ】	「형용사」		形や色などがとても美しい。
곱살하다	1.かわいらしい【可愛らしい】 2.おとなしい【大人しい】	「형용사」		顔立ちがきれいだ。 性格や態度などがもの静かだ。
곱상하다	かわいい【可愛い】	「형용사」	곱相하다	顔がきれいだ。
곱슬곱슬	ちぢれて【縮れて】	「부사」		髪の毛や動物の毛などが丸まっているさま。
곱슬곱슬하다	ちぢれる【縮れる】。ちぢくれる【縮くれる】。ちりちりする	「형용사」		髪や毛などが丸く巻かれている。
곳곳이	ところどころ	「부사」		いたる所に。
공-	から【空】 3.むだ【無駄】	「접사」		「労力や金銭がかかっていない」という意を付加する接頭辞。 「空っぽの」または「効果のない」という意を付加する接頭辞。 「余計に」という意を付加する接頭辞。
-공	こう【工】	「접사」		「技術者」または「労働者」の意を付加する接尾辞。
-공		「접사」		「敬う」意を付加する接尾辞。
공간적	くうかんてき【空間的】	「관형사」		空間と関わるさま。
공개적	こうかいてき【公開的】	「관형사」		ある事柄や事実、内容などを多くの人々に見せるさま。 
공격적	1.こうげきてき【攻撃的】 2.こうげきてき【攻撃的】 3.こうげきてき【攻撃的】。せめの【攻めの】	「관형사」		戦争で敵を攻めるさま。 人を非難したり、人の意見に反対するさま。 スポーツ試合で相手に勝とうと、積極的に行動するさま。
공경히	うやうやしく	「부사」	恭敬히	年上の人を敬う気持ちで。
공고하다	きょうこだ【強固だ】	「형용사」		強く固くてしっかりしている。
공고히	きょうこに【強固に】	「부사」	鞏固히	固くて強く、丈夫に。
공공연하다	こうぜんだ【公然だ】。おおっぴらだ【大っぴらだ】	「형용사」	公公然하다	隠すことやはばかることなく、世間一般に知れ渡っている。
공공연히	こうぜんと【公然と】	「부사」	公公然히	隠したり回避したりせず公に。
공교롭다		「형용사」	工巧롭다	偶然、意外の出来事が起きて、驚くべきだ。
공교하다	1.たくみだ【巧みだ】。こうみょうだ【巧妙だ】。せいみょうだ【精妙だ】 2.ふしぎだ【不思議だ】	「형용사」	工巧하다	技や技術などがきめ細かですばらしい。 思いがけない事実や事件が変で奇妙だ。
공동적	きょうどうてき【共同的】	「관형사」		二人以上の人や団体が、一緒に仕事をしたり同等の資格で関わったりするさま。 
공리적	こうりてき【功利的】	「관형사」		物事を行う時、その行為が自分の利益になるのかを先に考えるさま。 
공명정대하다	こうめいせいだいだ【公明正大だ】。こうせいだ【公正だ】。ちゅうせいだ【中正だ】。フェアだ  	「형용사」	公明正大하다	やり方や態度が一方に偏ったり誤ることなく、正当で潔い。 
공명정대히	こうめいせいだいに【公明正大に】	「부사」	公明正大히	やることや態度が偏りや誤りがなく、正々堂々と。
공명하다	こうめいだ【公明だ】	「형용사」		私的な感情を持たず、一方に偏らず公正である。
공상적	くうそうてき【空想的】。ひげんじつてき【非現実的】	「관형사」		実際に存在しなかったり、実現する可能性のないことを頭の中で考えるさま。 
공손하다	ていねいだ【丁寧だ】。ていちょうだ【丁重だ】	「형용사」	恭遜하다	言葉や態度が礼儀正しくて謙遜である。
공손히	ていねいに【丁寧に】	「부사」	恭遜히	言葉や行動が礼儀正しくて慎ましく。
공시적	きょうじてき【共時的】	「관형사」		主に言語学において、特定の時期に現れる現象を見るさま。 
공식적	1.こうしきてき【公式的】  2.こうしきてき【公式的】 	「관형사」		公的な形式や内容を持つさま。 型にはまった方式だけで物事を処理するさま。 
공연스럽다	むだだ【無駄だ】	「형용사」	空然스럽다	特別な理由や中身がないところがある。
공연스레	むなしく。いたずらに	「부사」	空然스레	特別な理由や実利がなく。
공연하다	むだだ【無駄だ】。むなしい	「형용사」		特別な理由や内容がない。
공연히	なんとなく。わけもなく	「부사」	空然히	特別な理由や実利なく。
공으로	1.ただで【只で】 2.むに【無に】	「부사」	空으로	対価をもらわずただで。 なんでもないことに。
공적	こうてき【公的】 	「관형사」		国家や社会に関わるさま。
공정하다	こうせいだ【公正だ】。フェアだ	「형용사」	公正하다	一方に偏ることなく客観的で正しい。
공정히	こうせいに【公正に】	「부사」	公正히	片方に偏らず正しく。
공통적	きょうつうてき【共通的】	「관형사」		複数の中で、お互いに同じか、関係があるさま。
공평무사하다	こうへいむしだ【公平無私だ】	「형용사」	公平無私하다	私的な感情を交えないで、どちらか片方に偏らず、誰にでも平等である。
공평하다	こうへいだ【公平だ】 	「형용사」	公平하다	どちらかの片方に偏らず、誰にでも平等である。
공평히	こうへいに【公平に】	「부사」	公平히	片方に偏らず、全ての人に均等に。
공하다	ただだ【只だ】	「형용사」	空하다	お金や物を手にするのに必要な金銭や労力を払ったことがない。
공허하다	1.くうきょだ【空虚だ】 2.くうきょだ【空虚だ】	「형용사」	空虛하다	がらんと空いている。 実質がなくむなしい。
공활하다	くうかつだ【空闊だ】	「형용사」	空豁하다	空が清らかでひろびろとしている。
공히	もらさずに。れいがいなく【例外なく】	「부사」	共히	残らず全部。
-곶	みさき【岬】	「접사」		「海に細長く突き出ている陸地」の意を付加する接尾辞。
과	1.と 2.と 3.と 4.と	「조사」		比較の対象、または基準となる対象であることを表す助詞。 誰かにあることをする時に、その相手であることを表す助詞。 あることを一緒にする対象であることを表す助詞。 前後の名詞を同等な資格でつなぐ時に用いる助詞。
과-	1.か【過】。かじょう【過剰】 2.か【過】	「접사」		「過度な」という意を付加する接頭辞。 「酸素が過度な割合で結合した」という意を付加する接頭辞。
-과	か【課】	「접사」		「業務部署」の意を付加する接尾辞。 
과감하다	かかんだ【果敢だ】	「형용사」	果敢하다	決断力があり、勇敢だ。
과감히	かかんに【果敢に】	「부사」	果敢히	決断力があって勇敢に。
과격하다	かげきだ【過激だ】	「형용사」	過激하다	度を越して激烈だ。
과년하다	としごろをすぎる【年頃を過ぎる】	「형용사」	過年하다	女性が婚期を逸する。
과다하다	かただ【過多だ】。おおすぎる【多すぎる】	「형용사」	過多하다	多すぎる。
과당하다	かとうだ【過当だ】	「형용사」	過當하다	適当な程度を超えている。
과대하다	かだいだ【過大だ】	「형용사」		大きすぎる。または、程度が甚だしい。
과도기적	かときてき【過渡期的】 	「관형사」		ある状態から新しい状態へと移り変わっていく、過渡期の特徴を持ちあわせているさま。 
과도적	かとてき【過渡的】 	「관형사」		ある状態から新しい状態へと移り変わっていくさま。
과도하다	かどだ【過度だ】。ゆきすぎる【行過ぎる】	「형용사」	過度하다	度が過ぎる。
과도히	かどに【過度に】	「부사」	過度히	度を越して。
과묵하다	かもくだ【寡黙】。むくちだ【無口だ】 	「형용사」	寡默하다	口数が少なく、態度が落ち着いている。
과문하다	かぶんだ【寡聞だ】	「형용사」	寡聞하다	見聞きがせまい。
과민하다	かびんだ【過敏だ】。びんかんだ【敏感だ】。デリケートだ	「형용사」	過敏하다	身体感覚や感情、気分などが過度に敏感だ。
과밀하다	かみつだ【過密だ】 	「형용사」	過密하다	人口や建物などが１ケ所に集中しすぎている。
과분하다	かぶんだ【過分だ】。ぶんにすぎる【分に過ぎる】。もったいない	「형용사」	過分하다	立場や資格、実力に比べて、分に過ぎた扱いを受ける。
과연	1.さすがに 2.はたして【果たして】	「부사」	果然	思ったとおりに本当に。 結果においても正に。
과욕하다	よくばりすぎる【欲張りすぎる】	「형용사」	過慾하다	欲張りすぎる。
과인	かじん【寡人】	「대명사」	寡人	王様が自分をさし、へりくだっていう語。
과장적	こちょうてき【誇張的】	「관형사」		実際より過度に大きくまたは大げさに表現するさま。
과중하다	1.かじゅうだ【過重だ】。におもだ【荷重だ】 2.かじゅうだ【過重だ】。におもだ【荷重だ】	「형용사」	過重하다	重すぎる。 負担が重すぎて、耐えがたい。
과하다	1.かどだ【過度だ】 2.かぶんだ【過分だ】。みにあまる【身に余る】。みにすぎる【身に過ぎる】	「형용사」		程度が過ぎる。 処遇が身分や資格を超えてよすぎる。 
과학적	かがくてき【科学的】 	「관형사」		科学の論理や体系に合っているさま。 
과히	あまり。そんなに	「부사」	過히	度を越して。
-관	かん【官】	「접사」		「公的な職責の担当者」の意を付加する接尾辞。 
-관	かん【館】	「접사」		「建物」または「機関」の意を付加する接尾辞。
-관	かん【観】	「접사」		「観点」または「見解」の意を付加する接尾辞。 
관	かん【貫】	「의존 명사」		重さの単位。
관계없다	1.かんけいない【関係ない】 2.かんけいない【関係ない】	「형용사」	關係없다	互いに何の関連もない。 大丈夫だ。問題になることがない。
관계없이	1.かんけいなく【関係なく】。とわずに【問わずに】 2.かんけいなく【関係なく】	「부사」	關係없이	互いになんの関連もなく。 問題になることなく。
관계있다	かんけいある【関係ある】 	「형용사」	關係있다	互いに関連がある。
관념적	かんねんてき【観念的】 	「관형사」		現実的ではなく、抽象的な傾向を持つさま。 
관능적	かんのうてき【官能的】。にくかんてき【肉感的】。いろっぽい【色っぽい】 	「관형사」		性的な刺激や欲望を引き起こすさま。
관대하다	かんだいだ【寛大だ】	「형용사」		心がひろく思いやりがある。
관대히	かんだいに【寛大に】	「부사」	寬大히	広い心と度量で。
관료적	かんりょうてき【官僚的】 	「관형사」		形式的・権威主義的な態度や傾向があるさま。 
관망적	かんぼうてき【観望的】 	「관형사」		事の成り行きや雰囲気などに干渉せず、周囲から様子をうかがい見るさま。
